ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,350890.0,Caiabu,3532,RRAS11,35112,ALTA SOROCABANA,-22.0127,-51.2394,40.42597118848379,1
350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,351580.0,Flora Rica,3532,RRAS11,35111,ALTA PAULISTA,-21.6727,-51.3821,31.934183359470996,1
350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,352920.0,Martinópolis,3532,RRAS11,35112,ALTA SOROCABANA,-22.1462,-51.1709,52.37241988952398,1
350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,353540.0,Panorama,3532,RRAS11,35111,ALTA PAULISTA,-21.354,-51.8562,88.83534762350038,1
350030,Aguaí,3528,RRAS15,35142,MANTIQUEIRA,-22.0572,-46.9735,353930.0,Pirassununga,3529,RRAS14,35101,ARARAS,-21.996,-47.4257,47.17567987026281,2
350050,Águas de Lindóia,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.4733,-46.6314,355210.0,Socorro,3527,RRAS16,35071,BRAGANCA,-22.5903,-46.5251,16.954282007939867,8
350060,Águas de São Pedro,3529,RRAS14,35103,PIRACICABA,-22.5977,-47.8734,355060.0,São Roque,3519,RRAS8,35163,SOROCABA,-23.5226,-47.1357,127.30370031486252,3
350090,Altair,3530,RRAS13,35051,NORTE - BARRETOS,-20.5242,-49.0571,353400.0,Onda Verde,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.6042,-49.2929,26.13329843447536,2
350110,Alto Alegre,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.5811,-50.168,351700.0,Getulina,3518,RRAS9,35065,LINS,-21.7961,-49.9312,34.165031272578894,2
350110,Alto Alegre,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.5811,-50.168,354160.0,Promissão,3518,RRAS9,35065,LINS,-21.5356,-49.8599,32.30784749640913,1
350115,Alumínio,3519,RRAS8,35163,SOROCABA,-23.5306,-47.2546,350570.0,Barueri,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5057,-46.879,38.45790612541721,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,350330.0,Araras,3529,RRAS14,35101,ARARAS,-22.3572,-47.3842,42.42931701725603,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,350790.0,Brotas,3518,RRAS9,35064,JAU,-22.2795,-48.1251,95.97668529020233,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,351050.0,Caraguatatuba,3526,RRAS17,35173,LITORAL NORTE,-23.6125,-45.4125,219.23026729193907,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,351340.0,Cruzeiro,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.5728,-44.969,243.66498073768497,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,352040.0,Ilhabela,3526,RRAS17,35173,LITORAL NORTE,-23.7785,-45.3552,232.92502971815895,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,352690.0,Limeira,3529,RRAS14,35102,LIMEIRA,-22.566,-47.397,20.084912451069105,66
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,352970.0,Miguelópolis,3530,RRAS13,35083,ALTA MOGIANA,-20.1796,-48.031,292.2977780095871,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,353870.0,Piracicaba,3529,RRAS14,35103,PIRACICABA,-22.7338,-47.6476,32.30824829888936,9
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,353930.0,Pirassununga,3529,RRAS14,35101,ARARAS,-21.996,-47.4257,82.65122213122912,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,354390.0,Rio Claro,3529,RRAS14,35104,RIO CLARO,-22.3984,-47.5546,43.91137661737182,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,354990.0,São José dos Campos,3526,RRAS17,35171,ALTO VALE DO PARAIBA,-23.1896,-45.8841,156.8055040077778,2
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,355030.0,São Paulo,3521,RRAS6,35016,SAO PAULO,-23.5329,-46.6395,113.17100841639694,2
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,355150.0,Serrana,3530,RRAS13,35132,AQUIFERO GUARANI,-21.2043,-47.5952,171.9046954228508,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,355470.0,Torrinha,3518,RRAS9,35064,JAU,-22.4237,-48.1731,93.10582505707066,1
350170,Américo Brasiliense,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7288,-48.1147,350160.0,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,137.71752689970208,1
350170,Américo Brasiliense,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7288,-48.1147,351885.0,Guatapará,3530,RRAS13,35132,AQUIFERO GUARANI,-21.4944,-48.0356,27.21553429332269,2
350170,Américo Brasiliense,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7288,-48.1147,355365.0,Taquaral,3530,RRAS13,35052,SUL - BARRETOS,-21.0737,-48.4126,78.83740585511717,1
350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,355210.0,Socorro,3527,RRAS16,35071,BRAGANCA,-22.5903,-46.5251,28.569719517617585,2
350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,355495.0,Tuiuti,3527,RRAS16,35071,BRAGANCA,-22.8193,-46.6937,14.642560265290577,16
350210,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,350130.0,Álvares Machado,3532,RRAS11,35112,ALTA SOROCABANA,-22.0764,-51.4722,131.1898612637989,1
350210,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,354140.0,Presidente Prudente,3532,RRAS11,35112,ALTA SOROCABANA,-22.1207,-51.3925,135.74385084364332,1
350210,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,355510.0,Tupi Paulista,3532,RRAS11,35111,ALTA PAULISTA,-21.3825,-51.575,57.7228742562427,4
350220,Angatuba,3519,RRAS8,35161,ITAPETININGA,-23.4917,-48.4139,352350.0,Itatinga,3518,RRAS9,35063,POLO CUESTA,-23.1047,-48.6157,47.571897950684814,1
350230,Anhembi,3518,RRAS9,35063,POLO CUESTA,-22.793,-48.1336,351170.0,Charqueada,3529,RRAS14,35103,PIRACICABA,-22.5096,-47.7755,48.370127202089925,1
350230,Anhembi,3518,RRAS9,35063,POLO CUESTA,-22.793,-48.1336,353870.0,Piracicaba,3529,RRAS14,35103,PIRACICABA,-22.7338,-47.6476,50.34104947638421,46
350230,Anhembi,3518,RRAS9,35063,POLO CUESTA,-22.793,-48.1336,354700.0,Santa Maria da Serra,3529,RRAS14,35103,PIRACICABA,-22.5661,-48.1593,25.265218184708583,1
350250,Aparecida,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8495,-45.2325,355030.0,São Paulo,3521,RRAS6,35016,SAO PAULO,-23.5329,-46.6395,162.71631904092283,1
350260,Aparecida d'Oeste,3531,RRAS12,35153,JALES,-20.4487,-50.8835,350560.0,Barrinha,3530,RRAS13,35131,HORIZONTE VERDE,-21.1864,-48.1636,294.6702119960524,1
350270,Apiaí,3519,RRAS8,35162,ITAPEVA,-24.5108,-48.8443,350540.0,Barra do Turvo,3520,RRAS7,35121,VALE DO RIBEIRA,-24.759,-48.5013,44.29257808069176,1
350270,Apiaí,3519,RRAS8,35162,ITAPEVA,-24.5108,-48.8443,352120.0,Iporanga,3520,RRAS7,35121,VALE DO RIBEIRA,-24.5847,-48.5971,26.34914995479022,4
350275,Araçariguama,3519,RRAS8,35163,SOROCABA,-23.4366,-47.0608,350950.0,Campinas,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.9053,-47.0659,58.84188521566118,1
350275,Araçariguama,3519,RRAS8,35163,SOROCABA,-23.4366,-47.0608,351300.0,Cotia,3523,RRAS4,35013,MANANCIAIS,-23.6022,-46.919,23.3684397507348,1
350275,Araçariguama,3519,RRAS8,35163,SOROCABA,-23.4366,-47.0608,352250.0,Itapevi,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5488,-46.9327,18.04518367933173,1
350275,Araçariguama,3519,RRAS8,35163,SOROCABA,-23.4366,-47.0608,353440.0,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,29.475364560516876,2
350275,Araçariguama,3519,RRAS8,35163,SOROCABA,-23.4366,-47.0608,353910.0,Pirapora do Bom Jesus,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.3965,-46.9991,7.71294617880631,3
350275,Araçariguama,3519,RRAS8,35163,SOROCABA,-23.4366,-47.0608,354730.0,Santana de Parnaíba,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.4439,-46.9178,14.6350932484291,21
350275,Araçariguama,3519,RRAS8,35163,SOROCABA,-23.4366,-47.0608,355030.0,São Paulo,3521,RRAS6,35016,SAO PAULO,-23.5329,-46.6395,44.338779960396565,3
350275,Araçariguama,3519,RRAS8,35163,SOROCABA,-23.4366,-47.0608,355070.0,São Sebastião,3526,RRAS17,35173,LITORAL NORTE,-23.7951,-45.4143,172.6539207603148,2
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,350080.0,Alfredo Marcondes,3532,RRAS11,35112,ALTA SOROCABANA,-21.9527,-51.414,130.30337833770324,1
