ANT_TEMPO_,TP_ACIDENT,ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
1.0,1.0,350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,351600.0,Flórida Paulista,3533,RRAS10,35091,ADAMANTINA,-21.6127,-51.1724,12.777554353273954,3
1.0,1.0,350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,352080.0,Inúbia Paulista,3533,RRAS10,35091,ADAMANTINA,-21.7695,-50.9633,14.977615873175534,1
1.0,1.0,350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,352740.0,Lucélia,3533,RRAS10,35091,ADAMANTINA,-21.7182,-51.0215,6.726296681185251,3
1.0,1.0,350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,352890.0,Mariápolis,3533,RRAS10,35091,ADAMANTINA,-21.7959,-51.1824,16.896965308888444,3
1.0,1.0,350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,353490.0,Pacaembu,3533,RRAS10,35091,ADAMANTINA,-21.5627,-51.2654,23.84130632844659,4
1.0,1.0,350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,354085.0,Pracinha,3533,RRAS10,35091,ADAMANTINA,-21.8496,-51.0868,18.607264153829664,2
1.0,1.0,350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,354470.0,Sagres,3533,RRAS10,35091,ADAMANTINA,-21.8823,-50.9594,25.13215871979536,1
1.0,1.0,350010,Adamantina,3533,RRAS10,35091,ADAMANTINA,-21.682,-51.0737,354510.0,Salmourão,3533,RRAS10,35091,ADAMANTINA,-21.6267,-50.8614,22.81239984796916,1
1.0,1.0,350030,Aguaí,3528,RRAS15,35142,MANTIQUEIRA,-22.0572,-46.9735,351080.0,Casa Branca,3528,RRAS15,35143,RIO PARDO,-21.7708,-47.0852,33.747660880090095,1
1.0,1.0,350050,Águas de Lindóia,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.4733,-46.6314,352700.0,Lindóia,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.5226,-46.65,5.78509844826895,5
1.0,1.0,350060,Águas de São Pedro,3529,RRAS14,35103,PIRACICABA,-22.5977,-47.8734,355040.0,São Pedro,3529,RRAS14,35103,PIRACICABA,-22.5483,-47.9096,6.617086354791376,4
1.0,1.0,350100,Altinópolis,3530,RRAS13,35133,VALE DAS CACHOEIRAS,-21.0214,-47.3712,354790.0,Santo Antônio da Alegria,3530,RRAS13,35133,VALE DAS CACHOEIRAS,-21.0864,-47.1464,24.44739053038349,2
1.0,1.0,350115,Alumínio,3519,RRAS8,35163,SOROCABA,-23.5306,-47.2546,352840.0,Mairinque,3519,RRAS8,35163,SOROCABA,-23.5398,-47.185,7.1797932107678,2
1.0,1.0,350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,353340.0,Nova Odessa,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7832,-47.2941,6.462790505650278,1
1.0,1.0,350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,354580.0,Santa Bárbara d'Oeste,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7553,-47.4143,8.572630341866095,1
1.0,1.0,350180,Américo de Campos,3531,RRAS12,35157,VOTUPORANGA,-20.2985,-49.7359,353500.0,Palestina,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.39,-49.4309,33.41960609981828,1
1.0,1.0,350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,352260.0,Itapira,3528,RRAS15,35141,BAIXA MOGIANA,-22.4357,-46.8224,30.68353305008851,1
1.0,1.0,350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,353120.0,Monte Alegre do Sul,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.6817,-46.681,9.820161550173722,16
1.0,1.0,350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,353200.0,Morungaba,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.8811,-46.7896,19.16608433203171,1
1.0,1.0,350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,355160.0,Serra Negra,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.6139,-46.7033,12.660827630215572,2
1.0,1.0,350210,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,351100.0,Castilho,3531,RRAS12,35022,LAGOS DO DRS II,-20.8689,-51.4884,11.779273614614592,4
