ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
350030,Aguaí,3528,RRAS15,35142,MANTIQUEIRA,-22.0572,-46.9735,351080.0,Casa Branca,3528,RRAS15,35143,RIO PARDO,-21.7708,-47.0852,33.747660880090095,7
350030,Aguaí,3528,RRAS15,35142,MANTIQUEIRA,-22.0572,-46.9735,353070.0,Mogi Guaçu,3528,RRAS15,35141,BAIXA MOGIANA,-22.3675,-46.9428,34.50599233875888,3
350030,Aguaí,3528,RRAS15,35142,MANTIQUEIRA,-22.0572,-46.9735,354800.0,Santo Antônio de Posse,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.6029,-46.9192,60.686335790748544,1
350050,Águas de Lindóia,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.4733,-46.6314,350030.0,Aguaí,3528,RRAS15,35142,MANTIQUEIRA,-22.0572,-46.9735,58.01968526858418,1
350050,Águas de Lindóia,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.4733,-46.6314,352260.0,Itapira,3528,RRAS15,35141,BAIXA MOGIANA,-22.4357,-46.8224,20.095679231764027,11
350055,Águas de Santa Bárbara,3518,RRAS9,35061,VALE DO JURUMIRIM,-22.8812,-49.2421,350070.0,Agudos,3518,RRAS9,35062,BAURU,-22.4694,-48.9863,52.636699291034816,4
350070,Agudos,3518,RRAS9,35062,BAURU,-22.4694,-48.9863,351925.0,Iaras,3518,RRAS9,35061,VALE DO JURUMIRIM,-22.8682,-49.1634,47.7663521092181,1
350075,Alambari,3519,RRAS8,35161,ITAPETININGA,-23.5503,-47.898,355450.0,Tietê,3519,RRAS8,35163,SOROCABA,-23.1101,-47.7164,52.16942903271616,1
350100,Altinópolis,3530,RRAS13,35133,VALE DAS CACHOEIRAS,-21.0214,-47.3712,355150.0,Serrana,3530,RRAS13,35132,AQUIFERO GUARANI,-21.2043,-47.5952,30.84892327283768,1
350130,Álvares Machado,3532,RRAS11,35112,ALTA SOROCABANA,-22.0764,-51.4722,354130.0,Presidente Epitácio,3532,RRAS11,35114,EXTREMO OESTE PAULISTA,-21.7651,-52.1111,74.4686648853097,1
350160,Americana,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7374,-47.3331,350190.0,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,57.72897238187786,1
350180,Américo de Campos,3531,RRAS12,35157,VOTUPORANGA,-20.2985,-49.7359,353500.0,Palestina,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.39,-49.4309,33.41960609981828,1
350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,352260.0,Itapira,3528,RRAS15,35141,BAIXA MOGIANA,-22.4357,-46.8224,30.68353305008851,1
350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,353200.0,Morungaba,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.8811,-46.7896,19.16608433203171,1
350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,353710.0,Pedreira,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7413,-46.8948,13.118479005541657,34
350190,Amparo,3528,RRAS15,35074,CIRCUITO DAS AGUAS,-22.7088,-46.772,354800.0,Santo Antônio de Posse,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.6029,-46.9192,19.142228881327693,2
350200,Analândia,3529,RRAS14,35104,RIO CLARO,-22.1289,-47.6619,353930.0,Pirassununga,3529,RRAS14,35101,ARARAS,-21.996,-47.4257,28.477024707026104,1
350210,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,351820.0,Guararapes,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2544,-50.6453,85.97739803658222,1
350210,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,353960.0,Planalto,3531,RRAS12,35156,JOSE BONIFACIO,-21.0342,-49.933,151.12473068172076,3
350210,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,355630.0,Valparaíso,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2229,-50.8699,64.14617139624087,2
350220,Angatuba,3519,RRAS8,35161,ITAPETININGA,-23.4917,-48.4139,350800.0,Buri,3519,RRAS8,35162,ITAPEVA,-23.7977,-48.5958,38.63938464059716,2
350230,Anhembi,3518,RRAS9,35063,POLO CUESTA,-22.793,-48.1336,352680.0,Lençóis Paulista,3518,RRAS9,35062,BAURU,-22.6027,-48.8037,72.00507028836356,1
350230,Anhembi,3518,RRAS9,35063,POLO CUESTA,-22.793,-48.1336,353670.0,Pederneiras,3518,RRAS9,35062,BAURU,-22.3511,-48.7781,82.38898194239997,1
350250,Aparecida,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8495,-45.2325,353800.0,Pindamonhangaba,3526,RRAS17,35174,VALE DO PARAIBA REGIAO SERRANA,-22.9246,-45.4613,24.906229562661512,4
350250,Aparecida,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8495,-45.2325,355410.0,Taubaté,3526,RRAS17,35174,VALE DO PARAIBA REGIAO SERRANA,-23.0104,-45.5593,37.96312482295962,1
350260,Aparecida d'Oeste,3531,RRAS12,35153,JALES,-20.4487,-50.8835,353284.0,Nova Canaã Paulista,3531,RRAS12,35152,SANTA FE DO SUL,-20.3836,-50.9483,9.883498718746168,10
350260,Aparecida d'Oeste,3531,RRAS12,35153,JALES,-20.4487,-50.8835,355255.0,Suzanápolis,3531,RRAS12,35022,LAGOS DO DRS II,-20.4981,-51.0268,15.919514942231418,6
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,350510.0,Barbosa,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.2657,-49.9518,51.09483402809022,2
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,350650.0,Birigui,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.291,-50.3432,13.653921130968484,21
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,350770.0,Braúna,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.499,-50.3175,34.6798803143378,3
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,350810.0,Buritama,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.0661,-50.1475,34.194085841793004,2
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,351100.0,Castilho,3531,RRAS12,35022,LAGOS DO DRS II,-20.8689,-51.4884,115.23625974403258,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,351190.0,Clementina,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.5604,-50.4525,39.0839013741443,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,351250.0,Coroados,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.3521,-50.2859,22.628332105592907,2
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,351650.0,Gabriel Monteiro,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.5294,-50.5573,37.64658489809866,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,351710.0,Glicério,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.3812,-50.2123,30.466255103870186,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,352725.0,Lourdes,3531,RRAS12,35023,CONSORCIOS DO DRS II,-20.966,-50.2263,34.771905838543454,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,353010.0,Mirandópolis,3531,RRAS12,35022,LAGOS DO DRS II,-21.1313,-51.1035,69.41175946727837,2
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,353100.0,Monções,3531,RRAS12,35157,VOTUPORANGA,-20.8509,-50.0975,53.17885867650238,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,353270.0,Nipoã,3531,RRAS12,35156,JOSE BONIFACIO,-20.9114,-49.7833,75.72966947405163,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,353730.0,Penápolis,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.4148,-50.0769,44.11723883960102,2
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,353770.0,Piacatu,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.5921,-50.6003,45.69868026970506,3
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,354980.0,São José do Rio Preto,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.8113,-49.3758,119.03039812746113,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,355230.0,Sud Mennucci,3531,RRAS12,35022,LAGOS DO DRS II,-20.6872,-50.9238,76.48902171299764,1
350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,355520.0,Turiúba,3531,RRAS12,35023,CONSORCIOS DO DRS II,-20.9428,-50.1135,44.849216772486535,1
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,350740.0,Borborema,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.6214,-49.0741,94.46680946245225,1
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,351400.0,Dobrada,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.5155,-48.3935,37.21244525384943,2
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,351430.0,Dourado,3535,RRAS 18,35032,CORACAO DO DRS III,-22.1044,-48.3178,38.25317664490467,53
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,351930.0,Ibaté,3535,RRAS 18,35032,CORACAO DO DRS III,-21.9584,-47.9882,27.48816006772221,5
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,351960.0,Ibitinga,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.7562,-48.8319,67.70379941793325,3
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,352270.0,Itápolis,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.5942,-48.8149,69.19611571161471,1
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,352930.0,Matão,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.6025,-48.364,27.86728011435692,12
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,353290.0,Nova Europa,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.7765,-48.5705,40.60212261774837,22
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,354290.0,Ribeirão Bonito,3535,RRAS 18,35032,CORACAO DO DRS III,-22.0685,-48.182,31.449832022354386,50
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,354650.0,Santa Ernestina,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.4618,-48.3953,42.223801907807136,1
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,354890.0,São Carlos,3535,RRAS 18,35032,CORACAO DO DRS III,-22.0174,-47.886,39.69250707161922,1
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,355270.0,Tabatinga,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.7239,-48.6896,53.34315559982428,9
350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,355370.0,Taquaritinga,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.4049,-48.5103,54.320387418448576,1
350330,Araras,3529,RRAS14,35101,ARARAS,-22.3572,-47.3842,352690.0,Limeira,3529,RRAS14,35102,LIMEIRA,-22.566,-47.397,23.159294564017426,1
350360,Areiópolis,3518,RRAS9,35063,POLO CUESTA,-22.6672,-48.6681,352680.0,Lençóis Paulista,3518,RRAS9,35062,BAURU,-22.6027,-48.8037,15.662621277474717,1
350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,351470.0,Echaporã,3533,RRAS10,35093,MARILIA,-22.4326,-50.2038,33.4803705485939,4
350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,351950.0,Ibirarema,3533,RRAS10,35094,OURINHOS,-22.8185,-50.0739,39.491264547813245,4
350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,353470.0,Ourinhos,3533,RRAS10,35094,OURINHOS,-22.9797,-49.8697,66.52197779425957,1
350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,355500.0,Tupã,3533,RRAS10,35095,TUPA,-21.9335,-50.5191,81.11624667453464,1
350410,Atibaia,3527,RRAS16,35071,BRAGANCA,-23.1171,-46.5563,352520.0,Jarinu,3527,RRAS16,35073,JUNDIAI,-23.1039,-46.728,17.64940086277016,8
350410,Atibaia,3527,RRAS16,35071,BRAGANCA,-23.1171,-46.5563,352590.0,Jundiaí,3527,RRAS16,35073,JUNDIAI,-23.1852,-46.8974,35.736246772037525,1
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,350210.0,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,88.65949895103206,1
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,351520.0,Estrela d'Oeste,3531,RRAS12,35154,FERNANDOPOLIS,-20.2875,-50.4049,46.64192922810079,1
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,351690.0,General Salgado,3531,RRAS12,35157,VOTUPORANGA,-20.6485,-50.364,20.50305248886169,19
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,352044.0,Ilha Solteira,3531,RRAS12,35022,LAGOS DO DRS II,-20.4326,-51.3426,86.48222378489278,1
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,352480.0,Jales,3531,RRAS12,35153,JALES,-20.2672,-50.5494,46.106944109963855,1
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,352960.0,Meridiano,3531,RRAS12,35154,FERNANDOPOLIS,-20.3579,-50.1811,53.28176692164089,1
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,353100.0,Monções,3531,RRAS12,35157,VOTUPORANGA,-20.8509,-50.0975,51.32746376018117,1
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,354025.0,Pontalinda,3531,RRAS12,35153,JALES,-20.4396,-50.5258,27.21126779482732,1
350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,355230.0,Sud Mennucci,3531,RRAS12,35022,LAGOS DO DRS II,-20.6872,-50.9238,38.19691523514104,4
