MUNICIPIO,ID_IBGE,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,LAT_GOOGLE,LON_GOOGLE,LATITUDE,LONGITUDE,ARACNÍDICO,BOTRÓPICO,CROTÁLICO,ELAPÍDICO,ESCORPIÔNICO,LONÔMICO
ADAMANTINA,3500105,350010,GVE 19 MARILIA,SANTA CASA DE MISERICÓRDIA - ADAMANTINA,"R. JOAQUIM LUIZ VIANA, 209",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(18) 3502-2200,-2.169.281.306.878.520,-51.070.630.344.800.300,-21.69281,-51.07063,1,1,1,0,1,0
ADOLFO,3500204,350020,GVE 29 SAO JOSE DO RIO PRETO,"UNIDADE BÁSICA DE SAÚDE DE ADOLFO
","RUA MANOEL CARLOS FIGUEIREDO FERRAZ, ADOLFO - SP
",0,,1,(17) 3814-1295,-2.123.312.524.233.840,-496.418.404.239.159,-21.23312,-49.64184,0,0,0,0,0,0
AGUAI,3500303,350030,GVE 26 SAO JOAO DA BOA VISTA,PRONTO SOCORRO MUNICIPAL DE AGUAI,"R. Alexandrino de Alençar, 127 - Vila Bom Gosto, Aguaí - SP, 13863-016",0,,1,(19) 3653-7179,-2.206.347.628.912.140,-4.698.109.628.613.630,-22.06347,-46.98109,0,0,0,0,0,0
AGUAS DA PRATA,3500402,350040,GVE 26 SAO JOAO DA BOA VISTA,"UNIDADE INTEGRADA DE SAÚDE LEOPOLDO DE ARAÚJO
","AVENIDA LÁZARO ANSELMO RAMOS, 200 - JARDIM ÁGUAS DA PRATA, ÁGUAS DA PRATA - SP, 13890-000
",0,,0,(19) 3642-1303,-2.194.658.855.137.510,-4.672.514.868.760.530,-21.94658,-46.72514,0,0,0,0,0,0
AGUAS DE LINDOIA,3500501,350050,GVE 17 CAMPINAS,HOSPITAL SÃO CAMILO - ÁGUAS DE LINDÓIA,"RUA SANTA CATARINA, 158",1,ESCORPIÔNICO,1,(19) 3824-1122,-22.473.678.525.087.500,-4.663.425.457.936.940,-22.47367,-46.63425,0,0,0,0,1,0
AGUAS DE SANTA BARBARA,3500550,350055,GVE 16 BOTUCATU,UBS ÁGUAS DE SANTA BÁRBARA,"AVENIDA ABEL DO IMPÉRIO, 455 - JARDIM ADONIS, ÁGUAS DE SANTA BÁRBARA - SP, 18770-000
",0,,0,(14) 3765-1590,-22.887.383.881.647.000,-4.923.892.110.527.960,-22.88738,-49.23892,0,0,0,0,0,0
AGUAS DE SAO PEDRO,3500600,350060,GVE 20 PIRACICABA,PRONTO ATENDIMENTO DE ÁGUAS DE SÃO PEDRO,"RUA ANTÔNIO FEIJÓ - CENTRO, ÁGUAS DE SÃO PEDRO - SP, 13528-021",0,,1,(19) 3482-1721,-22.596.865.325.321.500,-4.787.857.642.976.680,-22.59686,-47.87857,0,0,0,0,0,0
AGUDOS,3500709,350070,GVE 15 BAURU,HOSPITAL DE AGUDOS,"Av. Benedito Otoni, 209 - Centro, Agudos - SP, 17120-000",0,,1,(14) 3262-8800,-22.469.405.526.756.300,-4.898.442.062.271.810,-22.46940,-48.98442,0,0,0,0,0,0
ALAMBARI,3500758,350075,GVE 31 SOROCABA,UBS ALAMBARI,"RUA JOSÉ VLADIMIR NORONHA DE OLIVEIRA, 150 - CENTRO, ALAMBARI - SP, 18220-000",0,,0,(15) 3274-1160,-2.355.305.770.632.890,-4.789.878.929.200.690,-23.55305,-47.89878,0,0,0,0,0,0
ALFREDO MARCONDES,3500808,350080,GVE 21 PRESIDENTE PRUDENTE,UBS DE ALFREDO MARCONDES,"RUA DAS AMÉRICAS, 558 - CENTRO, ALFREDO MARCONDES - SP, 19180-000",0,,0,(18) 3266-8350,-21.952.641.442.731.500,-51.413.835.235.198.600,-21.95264,-51.41383,0,0,0,0,0,0
ALTAIR,3500907,350090,GVE 14 BARRETOS,UNIDADE DE SAÚDE DA FAMÍLIA - ALTAIR,"RUA JOSÉ GARCIA DE SOUZA, 205 - ALTAIR - SP, 15430-046",0,,0,-,-20.523.233.226.127.800,-4.906.280.471.555.370,-20.52323,-49.06280,0,0,0,0,0,0
ALTINOPOLIS,3501004,350100,GVE 24 RIBEIRAO PRETO,HOSPITAL DE MISERICÓRDIA - ALTINÓPOLIS,"RUA CORONEL JOAQUIM ALBERTO, 421, CENTRO",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",1,(16) 3665-7200 / 3665-9624,-21.026.641.590.431.300,-4.737.584.438.038.540,-21.02664,-47.37584,0,1,1,0,1,0
ALTO ALEGRE,3501103,350110,GVE 11 ARACATUBA,HOSPITAL PADRE JOÃO W. BRAEM,"RUA FLORIANO PEIXOTO, 149 - ALTO ALEGRE - SP, 16310-000",0,,1,(18) 3657-1207,-2.158.108.353.945.680,-50.166.658.631.195.900,-21.58108,-50.16665,0,0,0,0,0,0
ALUMINIO,3501152,350115,GVE 31 SOROCABA,PRONTO ATENDIMENTO MUNICIPAL ALUMINIO,"RUA ALBERTO BERTELLI, 300 - VILA PEDÁGIO, ALUMÍNIO - SP, 18125-000",0,,1,(11) 4715-7166,-23.517.484.794.766.300,-4.725.398.794.741.710,-23.51748,-47.25398,0,0,0,0,0,0
ALVARES FLORENCE,3501202,350120,GVE 29 SAO JOSE DO RIO PRETO,POSTO DE ATENDIMENTO A SAUDE ORLANDO MARANGAO,"RUA 13 DE MAIO, 196 - BOA VISTA DOS ANDRADAS, ÁLVARES FLORENCE - SP, 15540-000",0,,0,(17) 3486-6102,-20.201.241.363.668.500,-49.874.376.289.498.800,-20.20124,-49.87437,0,0,0,0,0,0
ALVARES MACHADO,3501301,350130,GVE 21 PRESIDENTE PRUDENTE,SANTA CASA DE ALVARES MACHADO,"R. Monsenhor Nakamura, S/N - CENTRO, Álvares Machado - SP, 19160-000",0,,1,(18) 3273-1605,-22.079.961.222.370.300,-51.475.497.574.286.800,-22.07996,-51.47549,0,0,0,0,0,0
ALVARO DE CARVALHO,3501400,350140,GVE 19 MARILIA,CS DE ALVARO CARVALHO,"RUA JOAQUIM BRONZE MENDES, 55 - ÁLVARO DE CARVALHO - SP, 17410-027",0,,0,(14) 3484-1147,-22.079.503.111.122.300,-4.972.169.026.940.240,-22.07950,-49.72169,0,0,0,0,0,0
ALVINLANDIA,3501509,350150,GVE 19 MARILIA,CS ALVINLANDIA,"RUA AMADEU CRIPPA - JARDIM SÃO RAFAEL, ALVINLÂNDIA - SP, 17430-000",0,,0,-,-22.438.117.895.640.500,-4.976.799.588.000.440,-22.43811,-49.76799,0,0,0,0,0,0
AMERICANA,3501608,350160,GVE 17 CAMPINAS,HOSPITAL MUNICIPAL WALDEMAR TEBALDI,"AV. DA SAÚDE, 415, JD. N. SRA. FÁTIMA",1,ESCORPIÔNICO E ARACNÍDICO.,1,(19) 3471-6750,-22.742.062.789.121.900,-4.730.875.231.106.830,-22.74206,-47.30875,1,0,0,0,1,0
AMERICO BRASILIENSE,3501707,350170,GVE 12 ARARAQUARA,HOSPITAL ESTADUAL AMERICO BRASILIENSE,"Alameda Aldo Lupo, 1260 - Vila Cerqueira, Américo Brasiliense - SP, 14820-450",0,,1,(16) 3393-7800,-21.741.032.180.380.100,-4.812.190.062.330.710,-21.74103,-48.12190,0,0,0,0,0,0
AMERICO DE CAMPOS,3501806,350180,GVE 29 SAO JOSE DO RIO PRETO,CS DE AMERICO DE CAMPOS,"RUA SÃO JOÃO, 617 - AMÉRICO DE CAMPOS - SP, 15550-000",0,,1,(17) 3445-1206,-20.297.789.431.943.500,-4.973.363.166.546.650,-20.29778,-49.73363,0,0,0,0,0,0
AMPARO,3501905,350190,GVE 17 CAMPINAS,SANTA CASA ANNA CINTRA - AMPARO,"RUA ANNA CINTRA, 332",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(19) 3807-4477,-226.968.955.419.998,-4.676.837.749.167.360,-22.69689,-46.76837,1,1,1,0,1,0
ANALANDIA,3502002,350200,GVE 20 PIRACICABA,CENTRO DE SAUDE DE ANALANDIA,"AVENIDA 12, 235 - ANALÂNDIA - SP, 13550-000",0,,1,(19) 3566-9100,-22.122.655.160.320.400,-476.651.868.327.709,-22.12265,-47.66518,0,0,0,0,0,0
ANDRADINA,3502101,350210,GVE 11 ARACATUBA,SANTA CASA DE ANDRADINA,"AV. GUANABARA, 730",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(18) 3702-1100,-20.893.897.031.278.800,-5.137.442.484.329.910,-20.89389,-51.37442,1,1,1,0,1,0
ANGATUBA,3502200,350220,GVE 31 SOROCABA,SANTA CASA DE ANGATUBA,"PRAÇA LEVI LISBOA, Nº 1202",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",1,(15) 3255-1055,-23.492.620.161.030.900,-4.841.499.146.313.060,-23.49262,-48.41499,0,1,1,0,1,0
ANHEMBI,3502309,350230,GVE 16 BOTUCATU,PRONTO ATENDIMENTO DE ANHEMBI,"RUA PRUDENTE DE MORAES, 337 - CENTRO, ANHEMBI - SP, 18620-000",0,,1,(14) 3884-1133,-2.278.966.568.263.040,-48.126.105.855.344.000,-22.78966,-48.12610,0,0,0,0,0,0
ANHUMAS,3502408,350240,GVE 21 PRESIDENTE PRUDENTE,UBS MARINA CEOLIN LOPES DE ANHUMAS,"RUA VICENTE LOPES RAMON, 581-681 - CENTRO, ANHUMAS - SP, 19580-000",0,,0,(18) 3286-1221,-2.229.652.898.909.360,-51.386.476.372.333.300,-22.29652,-51.38647,0,0,0,0,0,0
APARECIDA,3502507,350250,GVE 33 TAUBATE,SANTA CASA DE MISERICORDIA DE APARECIDA,"R. Barão do Rio Branco, 470 - Centro, Aparecida - SP, 12570-000",0,,1,(12) 3104-5555,-22.840.470.607.898.800,-4.522.699.112.358.930,-22.84047,-45.22699,0,0,0,0,0,0
APARECIDA DOESTE,3502606,350260,GVE 30 JALES,SANTA CASA DE APARECIDA DOESTE,"R. São Paulo, 1235 - Centro, Aparecida d'Oeste - SP, 15735-000",0,,1,(17) 3635-1122,-20.449.877.457.732.000,-50.879.083.024.633.100,-20.44987,-50.87908,0,0,0,0,0,0
APIAI,3502705,350270,GVE 32 ITAPEVA,HOSPITAL DOUTOR ADEMAR DE BARROS - APIAÍ,"R. PRIMEIRO DE MAIO, 336 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(15) 3552-1266,-2.451.549.569.222.650,-48.842.869.619.405.800,-24.51549,-48.84286,1,1,1,0,1,1
