MUNICIPIO,ID_IBGE,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,LAT_GOOGLE,LON_GOOGLE,LATITUDE,LONGITUDE,ARACNÍDICO,BOTRÓPICO,CROTÁLICO,ELAPÍDICO,ESCORPIÔNICO,LONÔMICO
ADAMANTINA,3500105,350010,GVE 19 MARILIA,SANTA CASA DE MISERICÓRDIA - ADAMANTINA,"R. JOAQUIM LUIZ VIANA, 209",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(18) 3502-2200,-2.169.281.306.878.520,-51.070.630.344.800.300,-2.169.281,-5.107.063,1,1,1,0,1,0
ADOLFO,3500204,350020,GVE 29 SAO JOSE DO RIO PRETO,"UNIDADE BÁSICA DE SAÚDE DE ADOLFO
","RUA MANOEL CARLOS FIGUEIREDO FERRAZ, ADOLFO - SP
",0,,1,(17) 3814-1295,-2.123.312.524.233.840,-496.418.404.239.159,-2.123.312,-4.964.184,0,0,0,0,0,0
AGUAI,3500303,350030,GVE 26 SAO JOAO DA BOA VISTA,PRONTO SOCORRO MUNICIPAL DE AGUAI,"R. Alexandrino de Alençar, 127 - Vila Bom Gosto, Aguaí - SP, 13863-016",0,,1,(19) 3653-7179,-2.206.347.628.912.140,-4.698.109.628.613.630,-2.206.347,-4.698.109,0,0,0,0,0,0
AGUAS DA PRATA,3500402,350040,GVE 26 SAO JOAO DA BOA VISTA,"UNIDADE INTEGRADA DE SAÚDE LEOPOLDO DE ARAÚJO
","AVENIDA LÁZARO ANSELMO RAMOS, 200 - JARDIM ÁGUAS DA PRATA, ÁGUAS DA PRATA - SP, 13890-000
",0,,0,(19) 3642-1303,-2.194.658.855.137.510,-4.672.514.868.760.530,-2.194.658,-4.672.514,0,0,0,0,0,0
AGUAS DE LINDOIA,3500501,350050,GVE 17 CAMPINAS,HOSPITAL SÃO CAMILO - ÁGUAS DE LINDÓIA,"RUA SANTA CATARINA, 158",1,ESCORPIÔNICO,1,(19) 3824-1122,-22.473.678.525.087.500,-4.663.425.457.936.940,-2.247.367,-4.663.425,0,0,0,0,1,0
AGUAS DE SANTA BARBARA,3500550,350055,GVE 16 BOTUCATU,UBS ÁGUAS DE SANTA BÁRBARA,"AVENIDA ABEL DO IMPÉRIO, 455 - JARDIM ADONIS, ÁGUAS DE SANTA BÁRBARA - SP, 18770-000
",0,,0,(14) 3765-1590,-22.887.383.881.647.000,-4.923.892.110.527.960,-2.288.738,-4.923.892,0,0,0,0,0,0
AGUAS DE SAO PEDRO,3500600,350060,GVE 20 PIRACICABA,PRONTO ATENDIMENTO DE ÁGUAS DE SÃO PEDRO,"RUA ANTÔNIO FEIJÓ - CENTRO, ÁGUAS DE SÃO PEDRO - SP, 13528-021",0,,1,(19) 3482-1721,-22.596.865.325.321.500,-4.787.857.642.976.680,-2.259.686,-4.787.857,0,0,0,0,0,0
AGUDOS,3500709,350070,GVE 15 BAURU,HOSPITAL DE AGUDOS,"Av. Benedito Otoni, 209 - Centro, Agudos - SP, 17120-000",0,,1,(14) 3262-8800,-22.469.405.526.756.300,-4.898.442.062.271.810,-2.246.940,-4.898.442,0,0,0,0,0,0
ALAMBARI,3500758,350075,GVE 31 SOROCABA,UBS ALAMBARI,"RUA JOSÉ VLADIMIR NORONHA DE OLIVEIRA, 150 - CENTRO, ALAMBARI - SP, 18220-000",0,,0,(15) 3274-1160,-2.355.305.770.632.890,-4.789.878.929.200.690,-2.355.305,-4.789.878,0,0,0,0,0,0
ALFREDO MARCONDES,3500808,350080,GVE 21 PRESIDENTE PRUDENTE,UBS DE ALFREDO MARCONDES,"RUA DAS AMÉRICAS, 558 - CENTRO, ALFREDO MARCONDES - SP, 19180-000",0,,0,(18) 3266-8350,-21.952.641.442.731.500,-51.413.835.235.198.600,-2.195.264,-5.141.383,0,0,0,0,0,0
ALTAIR,3500907,350090,GVE 14 BARRETOS,UNIDADE DE SAÚDE DA FAMÍLIA - ALTAIR,"RUA JOSÉ GARCIA DE SOUZA, 205 - ALTAIR - SP, 15430-046",0,,0,-,-20.523.233.226.127.800,-4.906.280.471.555.370,-2.052.323,-4.906.280,0,0,0,0,0,0
ALTINOPOLIS,3501004,350100,GVE 24 RIBEIRAO PRETO,HOSPITAL DE MISERICÓRDIA - ALTINÓPOLIS,"RUA CORONEL JOAQUIM ALBERTO, 421, CENTRO",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",1,(16) 3665-7200 / 3665-9624,-21.026.641.590.431.300,-4.737.584.438.038.540,-2.102.664,-4.737.584,0,1,1,0,1,0
ALTO ALEGRE,3501103,350110,GVE 11 ARACATUBA,HOSPITAL PADRE JOÃO W. BRAEM,"RUA FLORIANO PEIXOTO, 149 - ALTO ALEGRE - SP, 16310-000",0,,1,(18) 3657-1207,-2.158.108.353.945.680,-50.166.658.631.195.900,-2.158.108,-5.016.665,0,0,0,0,0,0
ALUMINIO,3501152,350115,GVE 31 SOROCABA,PRONTO ATENDIMENTO MUNICIPAL ALUMINIO,"RUA ALBERTO BERTELLI, 300 - VILA PEDÁGIO, ALUMÍNIO - SP, 18125-000",0,,1,(11) 4715-7166,-23.517.484.794.766.300,-4.725.398.794.741.710,-2.351.748,-4.725.398,0,0,0,0,0,0
ALVARES FLORENCE,3501202,350120,GVE 29 SAO JOSE DO RIO PRETO,POSTO DE ATENDIMENTO A SAUDE ORLANDO MARANGAO,"RUA 13 DE MAIO, 196 - BOA VISTA DOS ANDRADAS, ÁLVARES FLORENCE - SP, 15540-000",0,,0,(17) 3486-6102,-20.201.241.363.668.500,-49.874.376.289.498.800,-2.020.124,-4.987.437,0,0,0,0,0,0
ALVARES MACHADO,3501301,350130,GVE 21 PRESIDENTE PRUDENTE,SANTA CASA DE ALVARES MACHADO,"R. Monsenhor Nakamura, S/N - CENTRO, Álvares Machado - SP, 19160-000",0,,1,(18) 3273-1605,-22.079.961.222.370.300,-51.475.497.574.286.800,-2.207.996,-5.147.549,0,0,0,0,0,0
ALVARO DE CARVALHO,3501400,350140,GVE 19 MARILIA,CS DE ALVARO CARVALHO,"RUA JOAQUIM BRONZE MENDES, 55 - ÁLVARO DE CARVALHO - SP, 17410-027",0,,0,(14) 3484-1147,-22.079.503.111.122.300,-4.972.169.026.940.240,-2.207.950,-4.972.169,0,0,0,0,0,0
ALVINLANDIA,3501509,350150,GVE 19 MARILIA,CS ALVINLANDIA,"RUA AMADEU CRIPPA - JARDIM SÃO RAFAEL, ALVINLÂNDIA - SP, 17430-000",0,,0,-,-22.438.117.895.640.500,-4.976.799.588.000.440,-2.243.811,-4.976.799,0,0,0,0,0,0
AMERICANA,3501608,350160,GVE 17 CAMPINAS,HOSPITAL MUNICIPAL WALDEMAR TEBALDI,"AV. DA SAÚDE, 415, JD. N. SRA. FÁTIMA",1,ESCORPIÔNICO E ARACNÍDICO.,1,(19) 3471-6750,-22.742.062.789.121.900,-4.730.875.231.106.830,-2.274.206,-4.730.875,1,0,0,0,1,0
AMERICO BRASILIENSE,3501707,350170,GVE 12 ARARAQUARA,HOSPITAL ESTADUAL AMERICO BRASILIENSE,"Alameda Aldo Lupo, 1260 - Vila Cerqueira, Américo Brasiliense - SP, 14820-450",0,,1,(16) 3393-7800,-21.741.032.180.380.100,-4.812.190.062.330.710,-2.174.103,-4.812.190,0,0,0,0,0,0
AMERICO DE CAMPOS,3501806,350180,GVE 29 SAO JOSE DO RIO PRETO,CS DE AMERICO DE CAMPOS,"RUA SÃO JOÃO, 617 - AMÉRICO DE CAMPOS - SP, 15550-000",0,,1,(17) 3445-1206,-20.297.789.431.943.500,-4.973.363.166.546.650,-2.029.778,-4.973.363,0,0,0,0,0,0
AMPARO,3501905,350190,GVE 17 CAMPINAS,SANTA CASA ANNA CINTRA - AMPARO,"RUA ANNA CINTRA, 332",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(19) 3807-4477,-226.968.955.419.998,-4.676.837.749.167.360,-2.269.689,-4.676.837,1,1,1,0,1,0
ANALANDIA,3502002,350200,GVE 20 PIRACICABA,CENTRO DE SAUDE DE ANALANDIA,"AVENIDA 12, 235 - ANALÂNDIA - SP, 13550-000",0,,1,(19) 3566-9100,-22.122.655.160.320.400,-476.651.868.327.709,-2.212.265,-4.766.518,0,0,0,0,0,0
ANDRADINA,3502101,350210,GVE 11 ARACATUBA,SANTA CASA DE ANDRADINA,"AV. GUANABARA, 730",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(18) 3702-1100,-20.893.897.031.278.800,-5.137.442.484.329.910,-2.089.389,-5.137.442,1,1,1,0,1,0
ANGATUBA,3502200,350220,GVE 31 SOROCABA,SANTA CASA DE ANGATUBA,"PRAÇA LEVI LISBOA, Nº 1202",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",1,(15) 3255-1055,-23.492.620.161.030.900,-4.841.499.146.313.060,-2.349.262,-4.841.499,0,1,1,0,1,0
ANHEMBI,3502309,350230,GVE 16 BOTUCATU,PRONTO ATENDIMENTO DE ANHEMBI,"RUA PRUDENTE DE MORAES, 337 - CENTRO, ANHEMBI - SP, 18620-000",0,,1,(14) 3884-1133,-2.278.966.568.263.040,-48.126.105.855.344.000,-2.278.966,-4.812.610,0,0,0,0,0,0
ANHUMAS,3502408,350240,GVE 21 PRESIDENTE PRUDENTE,UBS MARINA CEOLIN LOPES DE ANHUMAS,"RUA VICENTE LOPES RAMON, 581-681 - CENTRO, ANHUMAS - SP, 19580-000",0,,0,(18) 3286-1221,-2.229.652.898.909.360,-51.386.476.372.333.300,-2.229.652,-5.138.647,0,0,0,0,0,0
APARECIDA,3502507,350250,GVE 33 TAUBATE,SANTA CASA DE MISERICORDIA DE APARECIDA,"R. Barão do Rio Branco, 470 - Centro, Aparecida - SP, 12570-000",0,,1,(12) 3104-5555,-22.840.470.607.898.800,-4.522.699.112.358.930,-2.284.047,-4.522.699,0,0,0,0,0,0
APARECIDA DOESTE,3502606,350260,GVE 30 JALES,SANTA CASA DE APARECIDA DOESTE,"R. São Paulo, 1235 - Centro, Aparecida d'Oeste - SP, 15735-000",0,,1,(17) 3635-1122,-20.449.877.457.732.000,-50.879.083.024.633.100,-2.044.987,-5.087.908,0,0,0,0,0,0
APIAI,3502705,350270,GVE 32 ITAPEVA,HOSPITAL DOUTOR ADEMAR DE BARROS - APIAÍ,"R. PRIMEIRO DE MAIO, 336 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(15) 3552-1266,-2.451.549.569.222.650,-48.842.869.619.405.800,-2.451.549,-4.884.286,1,1,1,0,1,1
