MUNICIPIO,ID_IBGE,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,LAT_GOOGLE,LON_GOOGLE,LATITUDE,LONGITUDE
ADAMANTINA,3500105,350010,GVE 19 MARILIA,SANTA CASA DE MISERICÓRDIA - ADAMANTINA,"R. JOAQUIM LUIZ VIANA, 209",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(18) 3502-2200,-21.69253,-51.07051,-21.69253,-51.07051
ADOLFO,3500204,350020,GVE 29 SAO JOSE DO RIO PRETO,"UNIDADE BÁSICA DE SAÚDE DE ADOLFO
","RUA MANOEL CARLOS FIGUEIREDO FERRAZ, ADOLFO - SP
",0,,1,(17) 3814-1295,-21.23297,-49.64192,-21.23297,-49.64192
AGUAI,3500303,350030,GVE 26 SAO JOAO DA BOA VISTA,PRONTO SOCORRO MUNICIPAL DE AGUAI,"R. Alexandrino de Alençar, 127 - Vila Bom Gosto, Aguaí - SP, 13863-016",0,,1,(19) 3653-7179,-22.06345,-46.98101,-22.06345,-46.98101
AGUAS DA PRATA,3500402,350040,GVE 26 SAO JOAO DA BOA VISTA,"UNIDADE INTEGRADA DE SAÚDE LEOPOLDO DE ARAÚJO
","AVENIDA LÁZARO ANSELMO RAMOS, 200 - JARDIM ÁGUAS DA PRATA, ÁGUAS DA PRATA - SP, 13890-000
",0,,0,(19) 3642-1303,-21.946428924520802,-46.72522974639832,-21.94642,-46.72522
AGUAS DE LINDOIA,3500501,350050,GVE 17 CAMPINAS,HOSPITAL SÃO CAMILO - ÁGUAS DE LINDÓIA,"RUA SANTA CATARINA, 158",1,ESCORPIÔNICO,1,(19) 3824-1122,-22.4739339,-46.6337939,-22.47393,-46.63379
AGUAS DE SANTA BARBARA,3500550,350055,GVE 16 BOTUCATU,UBS ÁGUAS DE SANTA BÁRBARA,"AVENIDA ABEL DO IMPÉRIO, 455 - JARDIM ADONIS, ÁGUAS DE SANTA BÁRBARA - SP, 18770-000
",0,,0,(14) 3765-1590,-22.887162179834935,-49.2389421576717,-22.88716,-49.23894
AGUAS DE SAO PEDRO,3500600,350060,GVE 20 PIRACICABA,PRONTO ATENDIMENTO DE ÁGUAS DE SÃO PEDRO,"RUA ANTÔNIO FEIJÓ - CENTRO, ÁGUAS DE SÃO PEDRO - SP, 13528-021",0,,1,(19) 3482-1721,-22.596895337942925,-47.878743185004900,-22.59689,-47.87874
AGUDOS,3500709,350070,GVE 15 BAURU,HOSPITAL DE AGUDOS,"Av. Benedito Otoni, 209 - Centro, Agudos - SP, 17120-000",0,,1,(14) 3262-8800,-22.469215084330200,-48.98329680776650,-22.46921,-48.98329
ALAMBARI,3500758,350075,GVE 31 SOROCABA,UBS ALAMBARI,"RUA JOSÉ VLADIMIR NORONHA DE OLIVEIRA, 150 - CENTRO, ALAMBARI - SP, 18220-000",0,,0,(15) 3274-1160,-23.5529167686289,-47.89882839079537,-23.55291,-47.89882
ALFREDO MARCONDES,3500808,350080,GVE 21 PRESIDENTE PRUDENTE,UBS DE ALFREDO MARCONDES,"RUA DAS AMÉRICAS, 558 - CENTRO, ALFREDO MARCONDES - SP, 19180-000",0,,0,(18) 3266-8350,-21.952184716342916,-51.413902206987196,-21.95218,-51.41390
ALTAIR,3500907,350090,GVE 14 BARRETOS,UNIDADE DE SAÚDE DA FAMÍLIA,"RUA JOSÉ GARCIA DE SOUZA, 205 - ALTAIR - SP, 15430-046",0,,0,-,-20.52311086479819,-49.06297394700242,-20.52311,-49.06297
