Unidade de Saúde,GVE,Cidade,Endereço,Soro,Tipos de Soro,Telefone,latitude,longitude,24h
SANTA CASA DE MISERICÓRDIA - ADAMANTINA,GVE 19 MARILIA,ADAMANTINA,"R. JOAQUIM LUIZ VIANA, 209",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(18) 3502-2200,-21.69253,-51.07051,1
"UNIDADE BÁSICA DE SAÚDE DE ADOLFO
",GVE 29 SAO JOSE DO RIO PRETO,ADOLFO,"RUA MANOEL CARLOS FIGUEIREDO FERRAZ, ADOLFO - SP
",0,,(17) 3814-1295,-21.23297,-49.64192,1
PRONTO SOCORRO MUNICIPAL DE AGUAI,GVE 26 SAO JOAO DA BOA VISTA,AGUAI,"R. Alexandrino de Alençar, 127 - Vila Bom Gosto, Aguaí - SP, 13863-016",0,,(19) 3653-7179,-22.06345,-46.98101,1
"UNIDADE INTEGRADA DE SAÚDE LEOPOLDO DE ARAÚJO
",GVE 26 SAO JOAO DA BOA VISTA,AGUAS DA PRATA,"AVENIDA LÁZARO ANSELMO RAMOS, 200 - JARDIM ÁGUAS DA PRATA, ÁGUAS DA PRATA - SP, 13890-000
",0,,1936421303,-21.946428924520802,-46.72522974639832,0
HOSPITAL SÃO CAMILO - ÁGUAS DE LINDÓIA,GVE 17 CAMPINAS,AGUAS DE LINDOIA,"RUA SANTA CATARINA, 158",1,ESCORPIÔNICO,(19) 3824-1122,-22.4739339,-46.6337939,1
UBS ÁGUAS DE SANTA BÁRBARA,GVE 16 BOTUCATU,AGUAS DE SANTA BARBARA,"AVENIDA ABEL DO IMPÉRIO, 455 - JARDIM ADONIS, ÁGUAS DE SANTA BÁRBARA - SP, 18770-000
",0,,1437651590,-22.887162179834935, -49.2389421576717,0
PRONTO ATENDIMENTO DE ÁGUAS DE SÃO PEDRO,GVE 20 PIRACICABA,AGUAS DE SAO PEDRO,"RUA ANTÔNIO FEIJÓ - CENTRO, ÁGUAS DE SÃO PEDRO - SP, 13528-021",0,,1934821721,-22.596895337942925,-47.878743185004900,1
HOSPITAL DE AGUDOS,GVE 15 BAURU,AGUDOS,"Av. Benedito Otoni, 209 - Centro, Agudos - SP, 17120-000",0,,(14) 3262-8800,-22.469215084330200,-48.98329680776650,1
UBS ALAMBARI,GVE 31 SOROCABA,ALAMBARI,"RUA JOSÉ VLADIMIR NORONHA DE OLIVEIRA, 150 - CENTRO, ALAMBARI - SP, 18220-000",0,,1532741160,-23.5529167686289,-47.89882839079537,0
UBS DE ALFREDO MARCONDES,GVE 21 PRESIDENTE PRUDENTE,ALFREDO MARCONDES,"RUA DAS AMÉRICAS, 558 - CENTRO, ALFREDO MARCONDES - SP, 19180-000",0,,1832668350,-21.952184716342916, -51.413902206987196,0
UNIDADE DE SAÚDE DA FAMÍLIA,GVE 14 BARRETOS,ALTAIR,"RUA JOSÉ GARCIA DE SOUZA, 205 - ALTAIR - SP, 15430-046",0,,-,-20.52311086479819,-49.06297394700242,0
HOSPITAL DE MISERICÓRDIA - ALTINÓPOLIS,GVE 24 RIBEIRAO PRETO,ALTINOPOLIS,"RUA CORONEL JOAQUIM ALBERTO, 421, CENTRO",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",(16) 3665-7200 / 3665-9624,-21.02689125,-47.37591692270450,1
HOSPITAL PADRE JOÃO W. BRAEM,GVE 11 ARACATUBA,ALTO ALEGRE,"RUA FLORIANO PEIXOTO, 149 - ALTO ALEGRE - SP, 16310-000",0,,1836571207,-21.581008656035,-50.16677487980839,1
PRONTO ATENDIMENTO MUNICIPAL ALUMINIO,GVE 31 SOROCABA,ALUMINIO,"RUA ALBERTO BERTELLI, 300 - VILA PEDÁGIO, ALUMÍNIO - SP, 18125-000",0,,1147157166,-23.517248461234036,-47.25400717545306,1
POSTO DE ATENDIMENTO A SAUDE ORLANDO MARANGAO,GVE 29 SAO JOSE DO RIO PRETO,ALVARES FLORENCE,"RUA 13 DE MAIO, 196 - BOA VISTA DOS ANDRADAS, ÁLVARES FLORENCE - SP, 15540-000",0,,1734866102,-20.201171430375144,-49.87446419089624,0
SANTA CASA DE ALVARES MACHADO,GVE 21 PRESIDENTE PRUDENTE,ALVARES MACHADO,"R. Monsenhor Nakamura, S/N - CENTRO, Álvares Machado - SP, 19160-000",0,,(18) 3273-1605,-22.079931590073800,-51.47469490165730,1
